file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
010__L1__10._First_Time_Use__pp98-164.pdf,67,12160,438,181.49253731343285
008__L1__8._Installation__pp59-96.pdf,38,7145,327,188.02631578947367
019__L1__19._Safety_Functions_Table__pp211-222.pdf,12,3564,414,297.0
012__L1__12._Communication_Networks__pp171-180.pdf,10,2316,359,231.6
002__L1__2._Your_Robot__pp12-27.pdf,16,2233,361,139.5625
015__L1__15._Maintenance_and_Repair__pp192-204.pdf,13,2218,358,170.6153846153846
006__L1__6._Assembly__pp38-51.pdf,14,2106,343,150.42857142857142
013__L1__13._Emergency_Events__pp181-189.pdf,9,1606,287,178.44444444444446
007__L1__7._First_Boot__pp52-58.pdf,7,1116,272,159.42857142857142
003__L1__3._Safety__pp28-32.pdf,5,1093,291,218.6
011__L1__11._Cybersecurity_Threat_Assessment__pp165-170.pdf,6,1058,223,176.33333333333334
004__L1__4._Risk_Assessment__pp33-36.pdf,4,969,411,242.25
021__L1__21._Certificates__pp225-232.pdf,8,596,333,74.5
018__L1__18._Declarations_and_Certificates__pp209-210.pdf,2,546,368,273.0
017__L1__17._Declarations_and_Certificates_(original_EN)__pp207-208.pdf,2,543,369,271.5
001__L1__1._Liability_and_Intended_Use__pp10-11.pdf,2,488,282,244.0
016__L1__16._Disposal_and_Environment__pp205-206.pdf,2,404,261,202.0
014__L1__14._Transportation__pp190-191.pdf,2,350,218,175.0
020__L1__20._Certifications__pp223-224.pdf,2,330,232,165.0
009__L1__9._Commissioning__pp97-97.pdf,1,209,209,209.0
005__L1__5._Lifting_and_Handling__pp37-37.pdf,1,114,114,114.0
