file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
009__L1__Chapter_4_-_Parts_Listings__pp63-114.pdf,52,9176,368,176.46153846153845
005__L1__Table_of_Contents__pp13-16.pdf,4,5527,1538,1381.75
007__L1__Chapter_2_-_Operation__pp27-48.pdf,22,2704,245,122.9090909090909
010__L1__Chapter_5_-_Specifications__pp115-134.pdf,20,1861,360,93.05
003__L1__Safety_Recommendations__pp3-8.pdf,6,1840,391,306.6666666666667
008__L1__Chapter_3_-_Maintenance__pp49-62.pdf,14,1486,166,106.14285714285714
006__L1__Chapter_1_-_Installation__pp17-26.pdf,10,1243,315,124.3
004__L1__General_Purpose_Safeguards__pp9-12.pdf,4,540,305,135.0
002__L1__Parts_Ordering_Information__pp2-2.pdf,1,148,148,148.0
001__L1__Title_Page__pp1-1.pdf,1,21,21,21.0
