file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
005__L1__Table_of_Contents__pp13-16.pdf,4,5527,1538,1381.75
007__L1__Chapter_2_-_Operation__pp27-48.pdf,22,2704,245,122.9090909090909
010__L1__Chapter_5_-_Specifications__pp115-134.pdf,20,1861,360,93.05
003__L1__Safety_Recommendations__pp3-8.pdf,6,1840,391,306.6666666666667
008__L1__Chapter_3_-_Maintenance__pp49-62.pdf,14,1486,166,106.14285714285714
006__L1__Chapter_1_-_Installation__pp17-26.pdf,10,1243,315,124.3
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__05__2J_and_J-Head_Lower_Housing__pp76-80.pdf,5,1200,365,240.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__18__Replacement_Motor_Assemblies__pp107-110.pdf,4,891,273,222.75
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__11__Power_Feed_Y_Axis__pp91-94.pdf,4,756,335,189.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__01__E-Head__pp63-66.pdf,4,731,316,182.75
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__06__Basic_Machine__pp81-84.pdf,4,717,331,179.25
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__14__6F_Power_Feed_X-Axis__pp97-99.pdf,3,693,354,231.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__03__2J-Head_Back_Gear__pp70-72.pdf,3,691,368,230.33333333333334
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__02__2J-Head_Top_Housing__pp67-69.pdf,3,654,350,218.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__04__J-Head_Top_Housing__pp73-75.pdf,3,637,319,212.33333333333334
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__15__8F_Power_Feed_X-Axis__pp100-103.pdf,4,613,323,153.25
004__L1__General_Purpose_Safeguards__pp9-12.pdf,4,540,305,135.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__19__Metric_Conversion_Kits__pp111-114.pdf,4,338,189,84.5
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__07__Lead_Screw_Assembly__pp85-86.pdf,2,266,254,133.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__16__8F_Power_Feed_X-Axis_Control_Assembly_Exploded_View__pp104-105.pdf,2,252,234,126.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__10__Lubrication_System__pp89-90.pdf,2,204,193,102.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__17__8F_Power_Feed_X-Axis_Control_Assembly_Front_View__pp106-106.pdf,1,157,157,157.0
002__L1__Parts_Ordering_Information__pp2-2.pdf,1,148,148,148.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__12__Power_Feed_Y_Axis_Control_Box__pp95-95.pdf,1,140,140,140.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__08__Spray_Mist__pp87-87.pdf,1,108,108,108.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__09__Flood_Coolant__pp88-88.pdf,1,87,87,87.0
009__L1__Chapter_4_-_Parts_Listings__pp63-114__L2__13__Power_Feed_Type_(Servo_Type)__pp96-96.pdf,1,41,41,41.0
001__L1__Title_Page__pp1-1.pdf,1,21,21,21.0
