file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
007__L1__Chapter_7_G-codes__pp279-364.pdf,86,20388,441,237.06976744186048
006__L1__Chapter_6_Options_Programming__pp193-278.pdf,86,16207,360,188.45348837209303
009__L1__Chapter_9_Settings__pp387-450.pdf,64,13935,372,217.734375
005__L1__Chapter_5_Programming__pp139-192.pdf,54,12393,551,229.5
004__L1__Chapter_4_Operation__pp103-138.pdf,36,8591,417,238.63888888888889
002__L1__Chapter_2_Introduction__pp41-88.pdf,48,7587,317,158.0625
008__L1__Chapter_8_M-codes__pp365-386.pdf,22,5090,374,231.36363636363637
001__L1__Chapter_1_Safety__pp23-40.pdf,18,4212,422,234.0
003__L1__Chapter_3_Control_Icons__pp89-102.pdf,14,1421,181,101.5
010__L1__Index__pp451-456.pdf,6,1246,310,207.66666666666666
