file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
007__L1__Chapter_7_G-codes__pp279-364__L2__01__7.1_Introduction__pp279-362_part02.pdf,42,10505,441,250.11904761904762
007__L1__Chapter_7_G-codes__pp279-364__L2__01__7.1_Introduction__pp279-362_part01.pdf,42,9776,409,232.76190476190476
009__L1__Chapter_9_Settings__pp387-450__L2__01__9.1_Introduction__pp387-429_part02.pdf,22,6001,372,272.77272727272725
009__L1__Chapter_9_Settings__pp387-450__L2__01__9.1_Introduction__pp387-429_part01.pdf,21,4255,313,202.61904761904762
002__L1__Chapter_2_Introduction__pp41-88__L2__02__2.2_Control_Pendant__pp47-86_part01.pdf,20,3767,317,188.35
005__L1__Chapter_5_Programming__pp139-192__L2__08__xviii5.7.3_Using_Tool_Nose_Compensation__pp162-189_part01.pdf,14,3464,344,247.42857142857142
006__L1__Chapter_6_Options_Programming__pp193-278__L2__07__6.7_Macros_(Optional)__pp218-245_part01.pdf,14,3108,350,222.0
002__L1__Chapter_2_Introduction__pp41-88__L2__02__2.2_Control_Pendant__pp47-86_part02.pdf,20,2946,300,147.3
006__L1__Chapter_6_Options_Programming__pp193-278__L2__07__6.7_Macros_(Optional)__pp218-245_part02.pdf,14,2747,325,196.21428571428572
008__L1__Chapter_8_M-codes__pp365-386__L2__01__8.1_Introduction__pp365-384_part02.pdf,10,2668,374,266.8
006__L1__Chapter_6_Options_Programming__pp193-278__L2__08__xix6.7.4_Variable_Usage__pp246-264_part02.pdf,10,2472,318,247.2
008__L1__Chapter_8_M-codes__pp365-386__L2__01__8.1_Introduction__pp365-384_part01.pdf,10,2291,361,229.1
001__L1__Chapter_1_Safety__pp23-40__L2__01__1.1_General_Safety_Notes__pp23-29.pdf,7,2191,422,313.0
005__L1__Chapter_5_Programming__pp139-192__L2__02__5.2_Program_Edit_Modes__pp139-146.pdf,8,2038,391,254.75
004__L1__Chapter_4_Operation__pp103-138__L2__03__4.3_Device_Manager_(_LIST_PROGRAM)__pp104-111.pdf,8,1943,417,242.875
006__L1__Chapter_6_Options_Programming__pp193-278__L2__08__xix6.7.4_Variable_Usage__pp246-264_part01.pdf,9,1698,254,188.66666666666666
009__L1__Chapter_9_Settings__pp387-450__L2__02__9.2_Network_Connection__pp430-445_part02.pdf,8,1634,335,204.25
004__L1__Chapter_4_Operation__pp103-138__L2__12__xvii4.11.1_Tailstock_Types__pp130-134.pdf,5,1566,379,313.2
005__L1__Chapter_5_Programming__pp139-192__L2__08__xviii5.7.3_Using_Tool_Nose_Compensation__pp162-189_part02.pdf,14,1539,380,109.92857142857143
009__L1__Chapter_9_Settings__pp387-450__L2__02__9.2_Network_Connection__pp430-445_part01.pdf,8,1486,324,185.75
005__L1__Chapter_5_Programming__pp139-192__L2__03__5.3_Tips_and_Tricks__pp147-150.pdf,4,1483,551,370.75
003__L1__Chapter_3_Control_Icons__pp89-102.pdf,14,1421,181,101.5
010__L1__Index__pp451-456.pdf,6,1246,310,207.66666666666666
005__L1__Chapter_5_Programming__pp139-192__L2__04__5.4_Basic_Programming__pp151-154.pdf,4,1165,355,291.25
006__L1__Chapter_6_Options_Programming__pp193-278__L2__02__6.2_Automatic_Tool_Presetter_(ATP)__pp193-204.pdf,12,1035,154,86.25
006__L1__Chapter_6_Options_Programming__pp193-278__L2__04__6.4_Dual-Spindle_Lathes_(DS-Series)__pp209-212.pdf,4,1010,337,252.5
004__L1__Chapter_4_Operation__pp103-138__L2__07__4.7_Chuck_and_Collet_Replacement__pp118-122.pdf,5,1002,265,200.4
006__L1__Chapter_6_Options_Programming__pp193-278__L2__03__6.3_C_Axis__pp205-208.pdf,4,979,360,244.75
001__L1__Chapter_1_Safety__pp23-40__L2__06__1.6_Safety_Decals__pp34-40.pdf,7,959,298,137.0
006__L1__Chapter_6_Options_Programming__pp193-278__L2__11__6.10_Y_Axis__pp272-275.pdf,4,916,321,229.0
004__L1__Chapter_4_Operation__pp103-138__L2__09__4.9_Tooling__pp124-126.pdf,3,889,399,296.3333333333333
006__L1__Chapter_6_Options_Programming__pp193-278__L2__09__6.8_Shape_Creator__pp265-269.pdf,5,772,182,154.4
004__L1__Chapter_4_Operation__pp103-138__L2__10__4.10_Tool_Turret_Operations__pp127-129.pdf,3,646,287,215.33333333333334
004__L1__Chapter_4_Operation__pp103-138__L2__04__4.4_Full_Machine_Backup__pp112-115.pdf,4,620,201,155.0
004__L1__Chapter_4_Operation__pp103-138__L2__06__4.6_Part_Setup__pp116-117.pdf,2,609,346,304.5
005__L1__Chapter_5_Programming__pp139-192__L2__07__5.7_Tool_Nose_Compensation__pp159-161.pdf,3,595,252,198.33333333333334
005__L1__Chapter_5_Programming__pp139-192__L2__06__5.6_Cutting_G-codes__pp157-158.pdf,2,587,314,293.5
006__L1__Chapter_6_Options_Programming__pp193-278__L2__06__6.6_Live_Tooling__pp215-217.pdf,3,581,222,193.66666666666666
005__L1__Chapter_5_Programming__pp139-192__L2__05__5.5_Miscellaneous_Codes__pp155-156.pdf,2,544,309,272.0
001__L1__Chapter_1_Safety__pp23-40__L2__03__1.3_Door_Rules_-_Run__Setup_Mode__pp31-32.pdf,2,425,259,212.5
002__L1__Chapter_2_Introduction__pp41-88__L2__01__2.1_Lathe_Overview__pp41-46.pdf,6,396,127,66.0
005__L1__Chapter_5_Programming__pp139-192__L2__11__5.10_Subprograms__pp191-191.pdf,1,368,368,368.0
