approach,model,effort,top_k,avg_meta_total_tokens,avg_cosine,avg_rougeL,avg_bleu,avg_price_usd,avg_latency_sec,true_correctness_count,total_correctness_count,true_helpfulness_count,total_helpfulness_count,pct_correctness_true,pct_helpfulness_true,score_correctness,score_helpfulness,score_price
graph_eager,gpt-5-mini-2025-08-07,low,3,1941.7450980392157,0.21732715052402382,0.12482060870705909,0.02222486294293033,0.0038834901960784316,7.987450980392157,7,51,9,51,13.725490196078432,17.647058823529413,0.06250000000000003,0.05714285714285716,0.985165637193421
graph_eager,gpt-5-mini-2025-08-07,low,7,1934.1960784313726,0.2129272342175937,0.12248332623978195,0.024800028574604702,0.003868392156862745,7.275294117647059,6,51,9,51,11.76470588235294,17.647058823529413,0.03125,0.05714285714285716,0.9852369329193514
graph_eager,gpt-5-mini-2025-08-07,minimal,3,1870.4901960784314,0.23372416107624738,0.13945419222735259,0.03395502978985501,0.0037409803921568626,5.7188235294117655,8,51,9,51,15.686274509803921,17.647058823529413,0.09375,0.05714285714285716,0.9858385947727233
graph_eager,gpt-5-mini-2025-08-07,minimal,7,1870.1176470588234,0.2419585655275035,0.13720366981838172,0.026748301621254366,0.003740235294117647,5.678627450980392,8,51,12,51,15.686274509803921,23.52941176470588,0.09375,0.14285714285714285,0.9858421132630939
graph_eager,gpt-5-nano-2025-08-07,low,3,1983.235294117647,0.20772686398846096,0.13661534379575127,0.02833574097657071,0.0007932941176470588,5.968235294117647,7,51,10,51,13.725490196078432,19.607843137254903,0.06250000000000003,0.08571428571428574,0.9997581130462068
graph_eager,gpt-5-nano-2025-08-07,low,7,1983.2549019607843,0.1956670014160319,0.12474838410824002,0.020607814546816105,0.0007933019607843137,7.0492156862745095,5,51,10,51,9.803921568627452,19.607843137254903,0.0,0.08571428571428574,0.999758076009466
graph_eager,gpt-5-nano-2025-08-07,minimal,3,1857.9803921568628,0.19352751467580348,0.12401372737015232,0.01993543004943167,0.0007431921568627451,4.635098039215686,6,51,7,51,11.76470588235294,13.725490196078432,0.03125,0.0,0.9999947037460737
graph_eager,gpt-5-nano-2025-08-07,minimal,7,1855.1764705882354,0.1915967894704515,0.13188927293240263,0.015253163054324004,0.0007420705882352941,4.851176470588236,7,51,7,51,13.725490196078432,13.725490196078432,0.06250000000000003,0.0,1.0
graph_mmr,gpt-5-mini-2025-08-07,low,3,3281.4117647058824,0.25238674404597944,0.137078029565642,0.03432989036478722,0.006562823529411765,7.528039215686275,13,51,15,51,25.49019607843137,29.411764705882355,0.25,0.2285714285714286,0.972513331004463
graph_mmr,gpt-5-mini-2025-08-07,low,7,3281.529411764706,0.255941905922578,0.13067540081848783,0.03365597713058942,0.006563058823529412,8.197647058823529,15,51,15,51,29.411764705882355,29.411764705882355,0.31250000000000006,0.2285714285714286,0.9725122199022408
graph_mmr,gpt-5-mini-2025-08-07,minimal,3,3170.156862745098,0.2741165482332503,0.14886344302681095,0.0375269420104969,0.006340313725490196,6.82156862745098,12,51,16,51,23.52941176470588,31.372549019607842,0.21875,0.2571428571428571,0.9735640633393451
graph_mmr,gpt-5-mini-2025-08-07,minimal,7,3170.6666666666665,0.2720708221007908,0.14543706059843692,0.04339484068608882,0.0063413333333333325,7.805490196078431,11,51,15,51,21.568627450980394,29.411764705882355,0.18750000000000006,0.2285714285714286,0.9735592485630485
graph_mmr,gpt-5-nano-2025-08-07,low,3,3302.4901960784314,0.24029831978341534,0.15430479947531942,0.04853881320832068,0.0013209960784313728,6.9411764705882355,12,51,14,51,23.52941176470588,27.450980392156865,0.21875,0.2,0.9972662070555287
graph_mmr,gpt-5-nano-2025-08-07,low,7,3291.6862745098038,0.24379856292709584,0.15735982314597463,0.04473259802093117,0.0013166745098039216,7.097254901960784,13,51,14,51,25.49019607843137,27.450980392156865,0.25,0.2,0.9972866142996782
graph_mmr,gpt-5-nano-2025-08-07,minimal,3,3113.2156862745096,0.23543143113990414,0.14742720799859016,0.04000060586323935,0.001245286274509804,5.38843137254902,13,51,11,51,25.49019607843137,21.568627450980394,0.25,0.11428571428571432,0.997623722713922
graph_mmr,gpt-5-nano-2025-08-07,minimal,7,3107.4117647058824,0.23078546037901873,0.15197582215835884,0.03547685542541729,0.001242964705882353,4.864313725490196,12,51,13,51,23.52941176470588,25.49019607843137,0.21875,0.17142857142857143,0.997634685589182
lc_bm25,gpt-5-mini-2025-08-07,low,3,11823.549019607843,0.34029565261991046,0.19733086522875523,0.07923159870339462,0.023647098039215688,7.346078431372549,26,51,28,51,50.98039215686274,54.90196078431373,0.65625,0.6000000000000001,0.8918382356644851
lc_bm25,gpt-5-mini-2025-08-07,low,7,27206.70588235294,0.39427171622541396,0.22645788394834215,0.0931725453603007,0.054413411764705884,8.978627450980392,29,51,36,51,56.86274509803921,70.58823529411765,0.75,0.8285714285714287,0.7465540275677794
lc_bm25,gpt-5-mini-2025-08-07,minimal,3,11680.607843137255,0.31451876617988256,0.19514050596420324,0.07410552621869773,0.02336121568627451,4.542156862745098,24,51,28,51,47.05882352941176,54.90196078431373,0.59375,0.6000000000000001,0.8931882248645714
lc_bm25,gpt-5-mini-2025-08-07,minimal,7,27003.843137254902,0.3857694797213447,0.2491072145530695,0.10523593390589851,0.05400768627450981,4.213137254901961,29,51,31,51,56.86274509803921,60.78431372549019,0.75,0.6857142857142857,0.7484699381664206
lc_bm25,gpt-5-nano-2025-08-07,low,3,11893.862745098038,0.33235648913735255,0.21607058462012577,0.08338222866856641,0.004757545098039216,4.595098039215686,22,51,27,51,43.13725490196079,52.94117647058824,0.5312500000000001,0.5714285714285714,0.9810381887315271
lc_bm25,gpt-5-nano-2025-08-07,low,7,27257.49019607843,0.3432071512251432,0.21642484225415398,0.08108622236596975,0.010902996078431372,5.37764705882353,24,51,31,51,47.05882352941176,60.78431372549019,0.59375,0.6857142857142857,0.9520182357059662
lc_bm25,gpt-5-nano-2025-08-07,minimal,3,11647.274509803921,0.28279467929058666,0.17611569294182808,0.05550448781557211,0.004658909803921569,1.9352941176470588,16,51,14,51,31.372549019607842,27.450980392156865,0.34375,0.2,0.9815039627831126
lc_bm25,gpt-5-nano-2025-08-07,minimal,7,26971.49019607843,0.3023848785381455,0.19203958999035536,0.058867730265709656,0.010788596078431372,2.423921568627451,16,51,17,51,31.372549019607842,33.33333333333333,0.34375,0.28571428571428564,0.9525584536064452
long_context,gpt-5-mini-2025-08-07,low,1,106254.23529411765,0.40667028270601197,0.2542171261351027,0.07389863980455821,0.2125084705882353,7.242549019607843,36,51,42,51,70.58823529411765,82.35294117647058,0.96875,1.0,-2.220446049250313e-16
long_context,gpt-5-nano-2025-08-07,low,1,106313.03921568628,0.36200354945923746,0.25104155985678867,0.07034978674285192,0.042525215686274515,4.798039215686274,26,51,30,51,50.98039215686274,58.82352941176471,0.65625,0.6571428571428573,0.8026922821654463
